CALLE AGUSTIN LARA NO. 69-B,COL. EX-NORMAL TUXTEPEC,68370,91-(287)-5-27-81
AV. INDEPENDENCIA NO. 241,COL. CENTRO TUXTEPEC,68300,91-(287 )- 5-00-17
AV. INDEPENDENCIA NO. 779,COL. CENTRO TUXTEPEC,68300,91-(287)- 5-42-73 - 5 40 99
AV. 20 DE NOVIEMBRE NO.1024,COL.CENTRO,68300,91-(287 )-5-14-17
CARRETERA A LOMA ALTA S/N.,LOMAS DEL PEDREGAL TUXTEPEC,68360,91-(287)-5-39-32
AV. 20 DE NOVIEMBRE NO. 1060,COL. CENTRO TUXTEPEC,68300,91-(287 )- 53188 - 5 02 86
CALLE ZARAGOZA NO. 1010,COL. LA PIRAGUA TUXTEPEC,68380,
CALLE MATAMOROS NO. 310,COL. CENTRO TUXTEPEC,68300,91-(287)- 5-38-32
AV. 20 DE NOVIEMBRE NO.859-B,COL. CENTRO,68300,
AV. 20 DE NOVIEMBRE NO 1053,COL. CENTRO TUXTEPEC,68300,
BLVD. BENITO JUAREZ NO. 1466-A,FRACC. LOS ANGELES TUXTEPEC,68335,
CALLE MATAMOROS NO.280,COL. CENTRO TUXTEPEC,68300,
AV. INDEPENDENCIA NO. 545,COL. CENTRO TUXTEPEC,68300,
AV. INDEPENDENCIA NO. 1282-A,COL.CENTRO TUXTEPEC,68300,91(287)5-15-79 - 5 23 40
CALLE MATAMOROS NO. 127,COL. CENTRO TUXTEPEC,68300,91-(287)-50605
AV.INDEPENDENCIA NO.1010,COL.CENTRO TUXTEPEC.,68300,91-(287)-5-38-32
AV. 5 DE MAYO NO. 1652,LA PIRAGUA,68300,
AV. 5 DE MAYO NO. 1108,COL.CENTRO TUXTEPEC,68300,
AV. INDEPENDENCIA NO. 748,COL. CENTRO TUXTEPEC,68300,
AV. INDEPENDENCIA NO. 985-A,COL. CENTRO TUXTEPEC,68300,
AV. INDEPENDENCIA NO. 985-A,CENTRO,68300,01 287 5 21 80
BLVD. BENITO JUAREZ S / N,LA PIRAGUA TUXTEPEC,68300,5 12 2014
MATAMOROS NO 149,CENTRO TUXTEPEC,68300,
AV. 5 DE MAYO NO 1100-A,CENTRO TUXTEPEC,68300,01 287 5 35 05
AV. 20 DE NOVIEMBRE NO 1540,LA PIRAGUA TUXTEPEC,68380,
AV. 5 DE MAYO NO 1253,CENTRO TUXTEPEC,68300,01 287 5 35 59
CALLE OCAMPO NO 14,CENTRO TUXTEPEC,68300,
BLVD. BENITO JUAREZ ESQ. 20 DE NOVIEMBRE S/N,CENTRO TUXTEPEC,68300,01 287 5 37 77
CALLE ALDAMA NO 156,CENTRO TUXTEPEC,68300,
AV. INDEPENDENCIA NO 145,CENTRO TUXTEPEC,68300,01 287 5 30 90
AV. 20 DE NOVIEMBRE NO 1046,CENTRO TUXTEPEC,68300,01 287 5 43 12
CALLE IGNACIO RAYON NO.949,COL. LAZARO CARDENAS,68340,91-(287)-5-25-69
CALLE IGNACIO RAYON NO.934,COL.LAZARO CARDENAS,68340,91-(287)- 5-25-69
AV. 20 DE NOV. NO. 881 ESQ. ALDAMA,COL.CENTRO TUXTEPEC.,68300,91-(287) :91-(287)-5-25-82 - 5-32-19
AV. 20 DE NOVIEMBRE NO. 1178,COL.CENTRO,68300,91-(287)-5-15-47
AV. 5 DE MAYO NO. 1226,COL.CENTRO TUXTEPEC,68300,01 287 5 19 61
AV. INDEPENDENCIA S/N EXT. DEL MERCADO CENTRAL ESQ. BENITO JUAREZ,CENTRO TUXTEPEC,68300,01 287 5 36 56
MATAMOROS NO 85 ESQ. 20 DE NOVIEMBRE,CENTRO TUXTEPEC,68300,01 287 5 36 65
AV. 20 DE NOVIEMBRE NO 1320,CENTRO TUXTEPEC,68300,
CALLE OCAMPO NO. 254,COL.CENTRO TUXTEPEC,68300,
AV.INDEPENDENCIA NO. 678,COL. CENTRO,68300,91-(287)- 5-01-06
AV. INDEPENDENCIA N0.677,COL. LA PIRAGUA TUXTEPEC,68380,01 287 5 02 04
CALLE MORELOS NO. 72-B,COL. CENTRO TUXTEPEC,68300,01 287 5 39 38
CALLE ALDAMA NO.50,COL.CENTRO TUXTEPEC,68300,91(287)5-25-37
CALLE IGNACIO MATIAS NO.6,COL.MA. LUISA,68320,91-(287)- 5-35-07
AV. INDEPENDENCIA NO. 670,CENTRO,68300,5-27-51
PROL.5 DE MAYO NO.786,COL.5 DE MAYO TUXTEPEC,68360,01 287 5 08 86
AV. LIBERTAD NO. 495,COL.CENTRO TUXTEPEC,68300,91-(287)-5-40-46
AV. 5 NO. 1186 A,COSTA VERDE,68310,91 287 5 23 06
AV. 5 NO.1186-A,FRACC. COSTA VERDE TUXTEPEC,68310,91-( 287 )5-23-06
AV. 20 DE NOVIEMBRE ESQ. JUAREZ,COL. CENTRO TUXTEPEC.,68300,91-(287)-5-05-11-
AV. INDEPENDENCIA N0.670,COL. CENTRO TUXTEPEC,68300,91-(287)5 -27-57
CALLE BENITO JUAREZ NO.495,COL.LAZARO CARDENAS.,68340,91-(287)-5-03-90 - 5 47 88
20 DE NOVIEMBRE NO. 955,CENTRO,68300,91 287 5 03 32
AV. INDEPENDENCIA 918,CENTRO,68300,50616
AV INDEPENDENCIA 565-A,CENTRO,68300,54868
CALLE MATAMOROS NO. 325,COL.CENTRO TUXTEPEC.OAX.,68300,91-(287)-5-18-43
CALLE RIVA PALACIOS NO. 465,COL. LA PIRAGUA TUXTEPEC,68300,91-(287)-5-22-36
AV. 20 DE NOVIEMBRE NO. 1291,COL. CENTRO TUXTEPEC,68300,
5 DE MAYO 1038,CENTRO,68300,91287-51634
INDEPENDENCIA 748,CENTRO,68300,91287-53688
AV. 20 DE NOVIEMBRE NO. 963,COL.CENTRO TUXTEPEC,68300,01 287 5 18 02 - 5 32 59
AV. INDEPENDENCIA NO. 748,COL. CENTRO TUXTEPEC,68300,91-(287)-5-36-88
AV. 20 DE NOVIEMBRE NO.1896,COL. LA PIRAGUA,68380,91-(287)-5-10-37
5 DE MAYO 1660,CENTRO,68300,
20 DE NOVIEMBRE ESQ JUAREZ,CENTRO,68300,50511
AV. JESUS CARRANZA NO. 991,COL.CENTRO TUXTEPEC,68300,01 287 5 07 77
OCAMPO 254-B,CENTRO,68300,91287-52827
AV. INDEPENDENCIA NO. 240,CENTRO,68300,50643
AV. INDEPENDENCIA NO. 545-D,COL.CENTRO TUXTEPEC,68300,91-(287)-5-14-63
AV. JESUS CARRANZA NO. 60,LAZARO CARDENAS,68340,91-(287)-5-20-24
AV. ROBERTYO COLORADO 1350,SANTA FE TUXTEPEC,68321,9128750886
C. ALDAMA NO. 153,COL.CENTRO TUXTEPEC.OAX.,68300,01 287 5 04 38
AV. LIBERTAD NO. 34,COL. CENTRO,68300,
AV. 20 DE NOVIEMBRE NO. 1020,COL.CENTRO TUXTEPEC,68300,91-(287)53354
CAMINO LOMA ALTA NO. 1000,COL.LOS AMIGOS CHARROS,68350,
AV. INDEPENDENCIA NO. 579,COL.CENTRO TUXTEPEC,68300,91-(287)5-27-98
CALLE 21 DE MARZO NO. 17,COL. MA. EUGENIA TUXTEPEC.,68350,01(287) 5-39-841 (287)5-39-84
CALLE MATAMOROS NO. 2-B,COL. CENTRO TUXTEPEC,68300,91-(287)5-09-34
INDEPENDENCIA NO. 717,CENTRO,68300,
18 DE MARZO NO. 1111,CENTRO,68300,91 287 5 32 43
AV. INDEPENDENCIA NO. 1054,COL.CENTRO TUXTEPEC,68300,01 287 5 26 75
ALDAMA 19-13,CENTRO,68300,91287-54386
AV.LIBERTAD NO. 33,COL.CENTRO TUXTEPEC,68300,91-(287)-5-33-77
AV. INDEPENDENCIA NO. 85,COL. CENTRO TUXTEPEC,68300,01 287 5 31 31
CALLE MATAMOROS NO. 237,COL.CENTRO TUXTEPEC,68300,
CALLEJON DE LA NOCHE TRISTE NO.23,COL. CENTRO,68300,91-(287)-5-37-04
CALLE OCAMPO NO. 231,COL. CENTRO TUXTEPEC,68300,91-(287)- 5-01-08
OCAMPO NO. 231,CENTRO,68300,91-287 -50108
CALLE MORELOS NO. 44,COL. CENTRO TUXTEPEC OAX.,68300,91-(287)- 5-02-25
AV DANIEL SOTO 738,COL. EL REPOSO,68321,9128750221
AV. INDEPENDENCIA NO. 1231 A,LA PIRAGUA,68320,91 287 5 32 09
AV. INDEPENDENCIA NO. 562,CENTRO,68300,5-01-77:
